Character Name,Account Handle,Level,Class,Guild Rank,Contribution Total,Join Date,Rank Change Date,Last Active Date,Status,Public Comment,Public Comment Last Edit Date,Officer Comment,Officer Comment Author,Officer Comment Last Edit Date
Akta Anis,@meayla,70,Control Wizard,Order of the Wolf,0,11/14/2015 6:01:16 AM,,5/23/2016 1:25:37 AM,"","2.7k  MoF; Alt = Jondal",5/5/2016 4:06:16 AM
Rasp,@tantalic,70,Control Wizard,Order of the Golden Shield,0,7/18/2015 8:46:31 PM,,5/23/2016 3:03:12 AM,"","Guild Vault Manager",2/24/2016 2:48:32 AM
Dorrian Hawklight,@dungra34,70,Control Wizard,Order of Ni,0,5/19/2016 10:05:24 PM,,5/23/2016 11:02:34 AM,"","",
Lillith,@blaydess,70,Control Wizard,Order of Ni,0,5/20/2016 5:03:17 PM,,5/23/2016 6:46:54 AM,"","",
Dorrian Shadow,@dungra34,70,Trickster Rogue,Order of the Aegis-Fang,0,3/4/2016 12:48:57 AM,4/2/2016 11:17:46 PM,5/23/2016 11:04:09 AM,"","",
DrDaemon,@drdaemon2,70,Trickster Rogue,Order of Ni,0,2/8/2016 9:37:22 PM,,4/17/2016 9:50:24 AM,"","",
Scheherazade,@nemanjajanjic87,70,Control Wizard,Order of the Aegis-Fang,0,9/15/2014 5:44:17 AM,,5/22/2016 8:09:29 AM,"","GL 2500 Serbia, Nis",3/25/2016 7:39:54 PM,"Qualifies. Takes a lot from vault wo donating rasp 12-30",Rasp@tantalic,12/30/2015 5:57:23 PM
Elior Hastur,@hastur905,70,Hunter Ranger,Order of Sekhmet,0,8/14/2015 4:28:34 PM,,5/23/2016 10:16:50 AM,"","",
Elhalyn Y Hastur,@hastur905,70,Devoted Cleric,Order of Sekhmet,0,10/14/2015 1:02:06 AM,,5/23/2016 10:34:03 AM,"","",
Ana,@flyingleon,70,Great Weapon Fighter,Order of the Golden Shield,0,8/6/2015 3:23:37 PM,,5/22/2016 7:13:24 PM,"","Sword Master Destroyer",4/23/2016 5:11:58 PM
